class,armpit_left,armpit_right,elbow_left,elbow_right,hip_left,hip_right,knee_left,knee_right
4,73,78,171,176,19,162,95,94
4,73,75,174,176,169,11,93,99
4,79,80,176,179,115,64,72,69
4,71,75,179,178,37,143,83,66
4,70,68,178,178,20,161,80,85
4,70,71,174,180,176,4,85,87
4,86,82,172,169,96,82,72,70
4,77,78,179,178,161,18,66,66
4,70,68,175,173,4,179,84,82
4,73,66,178,177,119,63,92,102
4,62,67,175,178,15,165,91,90
4,66,70,174,178,25,152,79,80
4,68,67,178,178,28,154,94,90
4,69,67,175,175,149,30,77,85
4,75,74,176,175,25,156,84,83
4,72,71,177,180,61,117,91,90
4,75,73,178,175,16,162,88,79
4,65,70,176,176,43,136,66,67
4,73,69,172,168,154,25,76,77
4,75,79,169,171,1,179,82,73
4,91,77,177,169,16,159,93,94
4,61,66,179,180,45,135,101,99
4,69,68,174,174,21,158,91,90
4,70,70,177,179,57,123,98,97
4,65,64,171,173,164,16,93,97
4,68,68,176,177,103,76,86,94
4,60,62,169,166,100,80,67,66
4,67,68,176,178,133,46,89,97
4,76,74,170,170,9,171,95,87
4,71,71,178,178,12,168,83,82
4,60,68,170,175,58,121,84,88
4,47,47,177,178,106,72,107,110
4,75,78,173,178,129,49,92,92
4,67,68,174,176,117,63,82,82
4,69,68,177,177,1,180,89,83
4,79,78,176,176,4,175,173,97
4,69,69,178,177,1,179,85,82
4,67,65,178,180,42,138,91,91
4,66,65,178,177,10,175,82,82
4,70,69,176,175,63,116,71,76
4,76,74,174,172,123,56,82,87
4,69,66,178,175,33,144,70,73
4,67,66,180,179,69,109,68,69
4,77,77,171,172,1,179,88,80
5,148,143,180,171,88,86,141,140
5,127,94,180,18,102,102,129,147
5,156,174,145,50,92,114,68,174
5,131,130,167,173,86,112,120,167
5,150,154,72,48,94,74,171,155
5,153,129,109,176,63,127,153,175
5,166,112,176,178,2,180,146,178
5,94,146,177,161,129,38,101,133
5,86,173,175,162,117,52,120,134
